Language,Native speakers
Mandarin,935
Spanish,387
English,365
Hindi,295
Arabic,280
Portuguese,204
Bengali,202
Russian,160
Japanese,127
Punjabi,96
German,92
Javanese,82
Wu,80
Malay/Indonesian,77
Vietnamese,76
Telugu,76
Korean,76
French,74
Marathi,73
Tamil,70
Urdu,66
Persian,65
Turkish,63
Italian,59
Cantonese,59
Thai,56
Gujarati,49
Jin,48
Min Nan,47
Polish,40
Pashto,39
Xiang,38
Sundanese,38
Malayalam,38
Kannada,38
Hausa,34
Oriya,33
Burmese,33
Hakka,31
Ukrainian,30
Bhojpuri,29
Yoruba,28
Tagalog,28
Maithili,27
Uzbek,26
Sindhi,26
Amharic,25
Romanian,24
Oromo,24
Igbo,24
Fula,24
Azerbaijani,23
Gan Chinese,22
Awadhi,22
Kurdish,21
Dutch,21
Cebuano,21
Serbo-Croatian,19
Malagasy,18
Saraiki,17
Nepali,17
Zhuang,16
Sinhalese,16
Khmer,16
Chittagonian,16
Somali,15
Madurese,15
Assamese,15
Marwari,14
Magahi,14
Haryanvi,14
Hungarian,13
Greek,12
Chhattisgarhi,12
Chewa,12
Kazakh,11
Deccan,11
Akan,11
Min Bei,10.9
Sylheti,10.7
Zulu,10.4
Czech,10
Kinyarwanda,9.8
Haitian Creole,9.6
Dhundhari,9.6
Min Dong,9.5
Ilokano,9.1
Quechua,8.9
Kirundi,8.8
Swedish,8.7
Hmong,8.4
Shona,8.3
Uyghur,8.2
Hiligaynon,8.2
Xhosa,7.6
Mossi,7.6
Belarusian,7.6
Balochi,7.6
Konkani,7.4
